,0
0,MINUS_DM
1,MOM
2,PLUS_DM
3,ROC
4,CORREL
5,PPO
6,STDDEV
7,APO
8,NATR
9,ATR
10,macdhist_MACDEXT
11,LINEARREG_SLOPE
12,macdsignal_MACDEXT
13,TRIX
14,macdsignal_MACD
15,BOP
16,macd_MACD
17,macdhist_MACDFIX
18,CDLHOMINGPIGEON
19,VAR
20,MIN
21,macd_MACDFIX
22,CDLABANDONEDBABY
23,LINEARREG_ANGLE
24,macd_MACDEXT
25,SUB
26,CDLRISEFALL3METHODS
27,CDLHIKKAKEMOD
28,macdhist_MACD
29,TRANGE
30,ADD
31,MAX
32,macdsignal_MACDFIX
33,CDLDRAGONFLYDOJI
34,CDL3WHITESOLDIERS
35,CDL3INSIDE
36,HT_TRENDMODE
37,CDLDOJISTAR
38,CMO
